,CID,Group,1Depth
2,1230,1,가정/요리/뷰티
3,90452,1,가정/요리/뷰티
4,53471,1,가정/요리/뷰티
5,53489,1,가정/요리/뷰티
6,53513,1,가정/요리/뷰티
7,53511,1,가정/요리/뷰티
8,53509,1,가정/요리/뷰티
9,53510,1,가정/요리/뷰티
10,53512,1,가정/요리/뷰티
11,53476,1,가정/요리/뷰티
12,53495,1,가정/요리/뷰티
13,53493,1,가정/요리/뷰티
14,53491,1,가정/요리/뷰티
15,53492,1,가정/요리/뷰티
16,53494,1,가정/요리/뷰티
17,53490,1,가정/요리/뷰티
18,53474,1,가정/요리/뷰티
19,53478,1,가정/요리/뷰티
20,53480,1,가정/요리/뷰티
21,53485,1,가정/요리/뷰티
22,53500,1,가정/요리/뷰티
23,53502,1,가정/요리/뷰티
24,53503,1,가정/요리/뷰티
25,53501,1,가정/요리/뷰티
26,53473,1,가정/요리/뷰티
27,53484,1,가정/요리/뷰티
28,53479,1,가정/요리/뷰티
29,53472,1,가정/요리/뷰티
30,53482,1,가정/요리/뷰티
31,53497,1,가정/요리/뷰티
32,53496,1,가정/요리/뷰티
33,53499,1,가정/요리/뷰티
34,53498,1,가정/요리/뷰티
35,53487,1,가정/요리/뷰티
36,53483,1,가정/요리/뷰티
37,53477,1,가정/요리/뷰티
38,53475,1,가정/요리/뷰티
39,53481,1,가정/요리/뷰티
40,53486,1,가정/요리/뷰티
41,90456,1,가정/요리/뷰티
42,90455,1,가정/요리/뷰티
43,53488,1,가정/요리/뷰티
44,53507,1,가정/요리/뷰티
45,53504,1,가정/요리/뷰티
46,53506,1,가정/요리/뷰티
47,53508,1,가정/요리/뷰티
48,53505,1,가정/요리/뷰티
49,55890,2,건강/취미/레저
50,53516,2,건강/취미/레저
51,53537,2,건강/취미/레저
52,53538,2,건강/취미/레저
53,53539,2,건강/취미/레저
54,53536,2,건강/취미/레저
55,53521,2,건강/취미/레저
56,53562,2,건강/취미/레저
57,55182,2,건강/취미/레저
58,53558,2,건강/취미/레저
59,53719,2,건강/취미/레저
