,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
20,53500,뜨개질/퀼트/십자수/바느질,60,예술,ARTS
21,53502,선물포장/리본/비즈,60,예술,ARTS
22,53503,종이접기/종이공예,60,예술,ARTS
66,53532,공예,60,예술,ARTS
67,53568,뜨개질/퀼트/십자수/바느질,60,예술,ARTS
68,53570,선물포장/리본/비즈,60,예술,ARTS
69,53571,종이접기/종이공예,60,예술,ARTS
79,53520,대체의학,51,의학,MEDICINE
92,53573,꽃꽂이,60,예술,ARTS
96,53517,정신건강,51,의학,MEDICINE
97,53518,질병치료와 예방,51,의학,MEDICINE
98,53540,간,51,의학,MEDICINE
99,53541,고혈압,51,의학,MEDICINE
100,53552,금연/금주/약물중독,51,의학,MEDICINE
101,53718,기타질병,51,의학,MEDICINE
102,53543,눈/코/입/귀,51,의학,MEDICINE
103,53544,당뇨병,51,의학,MEDICINE
104,53545,변비/치질,51,의학,MEDICINE
105,53553,비뇨기,51,의학,MEDICINE
106,53542,심장병,51,의학,MEDICINE
107,53546,암,51,의학,MEDICINE
108,53547,위장병,51,의학,MEDICINE
109,53554,정신질환,51,의학,MEDICINE
110,53548,중풍과 치매,51,의학,MEDICINE
111,53551,탈모,51,의학,MEDICINE
112,53549,피부병,51,의학,MEDICINE
113,53550,허리/디스크/척추/통증,51,의학,MEDICINE
116,53575,사진/비디오 촬영,66,사진술,PHOTOGRAPHY
118,53576,서예,64,서예,CALLIGRAPHY
121,53519,한의학,51,의학,MEDICINE
124,3057,경제학/경제일반,32,경제학,ECONOMICS
125,3059,경제사/경제전망,32,경제학,ECONOMICS
126,3060,세계 경제사/경제전망,32,경제학,ECONOMICS
127,3062,아시아 경제사/경제전망,32,경제학,ECONOMICS
128,3058,한국 경제사/경제전망,32,경제학,ECONOMICS
129,8586,경제이론/경제사상,32,경제학,ECONOMICS
130,3065,경제이야기,32,경제학,ECONOMICS
131,3140,경제정책/비평,32,경제학,ECONOMICS
136,274,무역,32,경제학,ECONOMICS
137,284,생산/품질/물류관리,32,경제학,ECONOMICS
138,8593,서비스/고객관리,32,경제학,ECONOMICS
140,282,조직/인력/성과관리,32,경제학,ECONOMICS
141,3069,e-비즈니스,60,예술,ARTS
151,2169,영업/세일즈,32,경제학,ECONOMICS
152,263,트렌드/미래예측,32,경제학,ECONOMICS
153,172,재테크/투자,32,경제학,ECONOMICS
154,141092,가상/암호화폐,32,경제학,ECONOMICS
155,11502,보험,32,경제학,ECONOMICS
156,175,부동산/경매,32,경제학,ECONOMICS
158,2225,재테크/투자 일반,32,경제학,ECONOMICS
159,174,주식/펀드,32,경제학,ECONOMICS
160,177,창업/취업/은퇴,32,경제학,ECONOMICS
161,3048,벤처/스타트업/인터넷창업,32,경제학,ECONOMICS
162,32828,은퇴설계,32,경제학,ECONOMICS
163,180,창업정보,32,경제학,ECONOMICS
164,249,취업정보,32,경제학,ECONOMICS
165,3049,CEO/비즈니스맨을 위한 능력계발,60,예술,ARTS
167,2408,기획/정보/문서관리,32,경제학,ECONOMICS
168,3101,성공학/경력관리,32,경제학,ECONOMICS
169,11503,시간관리,32,경제학,ECONOMICS
170,6189,화술/협상/프레젠테이션,32,경제학,ECONOMICS
171,76001,고등학교참고서,37,교육학,EDUCATION
172,77021,고등-문제집,37,교육학,EDUCATION
173,77129,과학탐구,37,교육학,EDUCATION
174,77125,국어영역,37,교육학,EDUCATION
175,77130,기타영역,37,교육학,EDUCATION
176,77128,사회탐구,37,교육학,EDUCATION
177,131522,수학영역,41,수학,MATHEMATICS
178,77127,영어영역,74,영어,ENGLISH
179,124815,한국사,37,교육학,EDUCATION
180,77027,고등영어전문교재,74,영어,ENGLISH
181,77028,단어/숙어,74,영어,ENGLISH
182,77030,독해/작문,74,영어,ENGLISH
183,77031,말하기/듣기,74,영어,ENGLISH
184,77029,문법,74,영어,ENGLISH
185,77032,NEAT(국가영어능력평가),74,영어,ENGLISH
186,77020,고등-자습서,37,교육학,EDUCATION
187,77135,과학,37,교육학,EDUCATION
188,77131,국어,37,교육학,EDUCATION
189,77136,기타,37,교육학,EDUCATION
190,77134,사회문화,37,교육학,EDUCATION
191,77133,수학,41,수학,MATHEMATICS
192,77132,영어,74,영어,ENGLISH
193,77026,고등학교 출판사별,37,교육학,EDUCATION
194,77045,개념원리수학,41,수학,MATHEMATICS
195,77331,개념원리_RPM(고등),41,수학,MATHEMATICS
196,77333,개념원리_기본서(고등),41,수학,MATHEMATICS
197,144621,9교시수학,41,수학,MATHEMATICS
198,148823,RPM HighQ,41,수학,MATHEMATICS
199,77050,꿈을담는틀,37,교육학,EDUCATION
200,123356,캐치-E,37,교육학,EDUCATION
201,113029,완성(고등),37,교육학,EDUCATION
202,113030,절대개념(고등),37,교육학,EDUCATION
203,115077,보카콕(고등),37,교육학,EDUCATION
204,115081,꿈틀고등,37,교육학,EDUCATION
205,131120,국어는꿈틀,37,교육학,EDUCATION
206,77308,모든것(고등),37,교육학,EDUCATION
207,77314,시크릿,37,교육학,EDUCATION
